SchoolYear,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,Local,MISTEM_NAME,MISTEM_CODE,ELAGr3Prof31aCnt,ELAGr3Prof31a,ELAGr3NotProf31aCnt,ELAGr3NotProf31a,MathGr8Prof31aCnt,MathGr8Prof31a,MathGr8NotProf31aCnt,MathGr8NotProf31a,CollegeReady31aCnt,CollegeReady31a,CollegeNotReadyCnt,CollegeNotReady
20 - 21 School Year,17,Eastern Upper Peninsula ISD,48040,Tahquamenon Area Schools,00000,All Buildings,17,Chippewa,LEA District,Town: Remote,Eastern Upper Peninsula Region,14,10,33.3,20,66.7,< 10,11.5,23,88.5,14,25.9,40,74.1
20 - 21 School Year,17,Eastern Upper Peninsula ISD,49010,St. Ignace Area Schools,00000,All Buildings,17,Chippewa,LEA District,Rural: Fringe,Eastern Upper Peninsula Region,14,< 10,13.3,13,86.7,< 10,35.7,< 10,64.3,17,23.6,55,76.4
20 - 21 School Year,17,Eastern Upper Peninsula ISD,49040,Les Cheneaux Community Schools,00000,All Buildings,17,Chippewa,LEA District,Rural: Remote,Eastern Upper Peninsula Region,14,< 10,46.7,< 10,53.3,< 10,28.6,10,71.4,< 10,25,12,75
20 - 21 School Year,17,Eastern Upper Peninsula ISD,49055,Engadine Consolidated Schools,00000,All Buildings,17,Chippewa,LEA District,Rural: Remote,Eastern Upper Peninsula Region,14,< 10,< 10,< 10,< 10,< 10,9.1,10,90.9,< 10,5.6,34,94.4
20 - 21 School Year,17,Eastern Upper Peninsula ISD,49070,Moran Township School District,00000,All Buildings,17,Chippewa,LEA District,Rural: Distant,Eastern Upper Peninsula Region,14,< 10,< 5,< 10,> 95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,17,Eastern Upper Peninsula ISD,49110,Mackinac Island Public Schools,00000,All Buildings,17,Chippewa,LEA District,Rural: Distant,Eastern Upper Peninsula Region,14,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10
20 - 21 School Year,17,Eastern Upper Peninsula ISD,49901,Three Lakes Academy,00000,All Buildings,17,Chippewa,PSA District,Rural: Remote,Eastern Upper Peninsula Region,14,< 10,33.3,12,66.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,18,Clare-Gladwin Regional Education Service District,18010,Clare Public Schools,00000,All Buildings,18,Clare,LEA District,Town: Distant,East Central Michigan Region,10,20,22.5,69,77.5,27,31.4,59,68.6,55,37.7,91,62.3
20 - 21 School Year,18,Clare-Gladwin Regional Education Service District,18020,Farwell Area Schools,00000,All Buildings,18,Clare,LEA District,Town: Distant,East Central Michigan Region,10,17,27.9,44,72.1,10,16.4,51,83.6,31,30.4,71,69.6
20 - 21 School Year,18,Clare-Gladwin Regional Education Service District,18060,Harrison Community Schools,00000,All Buildings,18,Clare,LEA District,Town: Distant,East Central Michigan Region,10,20,22,71,78,18,21.7,65,78.3,33,25,99,75
20 - 21 School Year,18,Clare-Gladwin Regional Education Service District,26010,Beaverton Schools,00000,All Buildings,18,Clare,LEA District,Rural: Distant,East Central Michigan Region,10,13,31.7,28,68.3,18,28.6,45,71.4,24,24.5,74,75.5
20 - 21 School Year,18,Clare-Gladwin Regional Education Service District,26040,Gladwin Community Schools,00000,All Buildings,18,Clare,LEA District,Town: Distant,East Central Michigan Region,10,43,54.4,36,45.6,34,31.8,73,68.2,58,31.9,124,68.1
20 - 21 School Year,19,Clinton County RESA,19000,Clinton County RESA  - District created from ISD,00000,All Buildings,19,Clinton,ISD District,Rural: Fringe,Mid-Michigan Region,7,N/A,N/A,N/A,N/A,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A
20 - 21 School Year,19,Clinton County RESA,19010,DeWitt Public Schools,00000,All Buildings,19,Clinton,LEA District,Suburb: Large,Mid-Michigan Region,7,51,34.9,95,65.1,50,49,52,51,72,31.6,156,68.4
20 - 21 School Year,19,Clinton County RESA,19070,Fowler Public Schools,00000,All Buildings,19,Clinton,LEA District,Rural: Distant,Mid-Michigan Region,7,< 10,20,< 10,80,< 10,36.4,< 10,63.6,10,41.7,14,58.3
20 - 21 School Year,19,Clinton County RESA,19100,Bath Community Schools,00000,All Buildings,19,Clinton,LEA District,Suburb: Large,Mid-Michigan Region,7,< 10,23.5,26,76.5,16,21.9,57,78.1,30,42.9,40,57.1
20 - 21 School Year,19,Clinton County RESA,19120,Ovid-Elsie Area Schools,00000,All Buildings,19,Clinton,LEA District,Rural: Distant,Mid-Michigan Region,7,< 10,14.3,48,85.7,< 10,21.2,26,78.8,34,32.7,70,67.3
20 - 21 School Year,19,Clinton County RESA,19125,Pewamo-Westphalia Community Schools,00000,All Buildings,19,Clinton,LEA District,Rural: Distant,Mid-Michigan Region,7,< 10,60,< 10,40,< 10,38.5,< 10,61.5,< 10,50,< 10,50
20 - 21 School Year,19,Clinton County RESA,19140,St. Johns Public Schools,00000,All Buildings,19,Clinton,LEA District,Town: Fringe,Mid-Michigan Region,7,62,43.1,82,56.9,65,31,145,69,128,41,184,59
20 - 21 School Year,19,Clinton County RESA,19900,Michigan International Prep School,00000,All Buildings,19,Clinton,PSA District,Rural: Distant,Mid-Michigan Region,7,< 10,22.2,< 10,77.8,< 10,15.6,27,84.4,11,17.2,53,82.8
20 - 21 School Year,21,Delta-Schoolcraft ISD,21010,Escanaba Area Public Schools,00000,All Buildings,21,Delta,LEA District,Town: Remote,906- Central Region,15,42,45.2,51,54.8,27,24.1,85,75.9,98,37.4,164,62.6
20 - 21 School Year,21,Delta-Schoolcraft ISD,21025,Gladstone Area Schools,00000,All Buildings,21,Delta,LEA District,Town: Remote,906- Central Region,15,< 10,13.3,39,86.7,15,18.3,67,81.7,60,41.1,86,58.9
20 - 21 School Year,21,Delta-Schoolcraft ISD,21060,Rapid River Public Schools,00000,All Buildings,21,Delta,LEA District,Rural: Distant,906- Central Region,15,< 10,25,< 10,75,< 10,20,< 10,80,15,30,35,70
20 - 21 School Year,21,Delta-Schoolcraft ISD,21065,Big Bay De Noc School District,00000,All Buildings,21,Delta,LEA District,Rural: Remote,906- Central Region,15,< 10,< 10,< 10,< 10,< 10,< 5,12,> 95,< 10,18.8,13,81.3
20 - 21 School Year,21,Delta-Schoolcraft ISD,21090,Bark River-Harris School District,00000,All Buildings,21,Delta,LEA District,Rural: Remote,906- Central Region,15,< 10,30,14,70,< 10,25,18,75,20,37,34,63
20 - 21 School Year,21,Delta-Schoolcraft ISD,21135,Mid Peninsula School District,00000,All Buildings,21,Delta,LEA District,Rural: Distant,906- Central Region,15,< 10,< 5,12,> 95,< 10,20,< 10,80,< 10,10.7,25,89.3
20 - 21 School Year,21,Delta-Schoolcraft ISD,55901,Nah Tah Wahsh Public School Academy,00000,All Buildings,21,Delta,PSA District,Rural: Remote,906- Central Region,15,< 10,16.7,10,83.3,< 10,5.9,16,94.1,< 10,5.6,17,94.4
20 - 21 School Year,21,Delta-Schoolcraft ISD,77010,Manistique Area Schools,00000,All Buildings,21,Delta,LEA District,Town: Remote,906- Central Region,15,11,33.3,22,66.7,13,25.5,38,74.5,23,22.1,81,77.9
20 - 21 School Year,22,Dickinson-Iron ISD,22010,Iron Mountain Public Schools,00000,All Buildings,22,Dickinson,LEA District,Town: Remote,906- Central Region,15,14,38.9,22,61.1,11,26.2,31,73.8,29,30.2,67,69.8
20 - 21 School Year,22,Dickinson-Iron ISD,22025,Norway-Vulcan Area Schools,00000,All Buildings,22,Dickinson,LEA District,Rural: Fringe,906- Central Region,15,10,47.6,11,52.4,< 10,31.3,11,68.8,15,35.7,27,64.3
20 - 21 School Year,22,Dickinson-Iron ISD,22030,Breitung Township School District,00000,All Buildings,22,Dickinson,LEA District,Town: Remote,906- Central Region,15,30,43.5,39,56.5,35,41.7,49,58.3,84,48.3,90,51.7
20 - 21 School Year,22,Dickinson-Iron ISD,22045,North Dickinson County Schools,00000,All Buildings,22,Dickinson,LEA District,Rural: Remote,906- Central Region,15,< 10,< 5,< 10,> 95,< 10,71.4,< 10,28.6,< 10,27.3,16,72.7
20 - 21 School Year,22,Dickinson-Iron ISD,36015,Forest Park School District,00000,All Buildings,22,Dickinson,LEA District,Rural: Remote,906- Central Region,15,< 10,25,15,75,< 10,21.7,18,78.3,12,31.6,26,68.4
20 - 21 School Year,22,Dickinson-Iron ISD,36025,West Iron County Public Schools,00000,All Buildings,22,Dickinson,LEA District,Town: Remote,906- Central Region,15,17,47.2,19,52.8,12,24,38,76,31,37.8,51,62.2
20 - 21 School Year,23,Eaton RESA,23000,Eaton RESA  - District created from ISD,00000,All Buildings,23,Eaton,ISD District,Rural: Fringe,Mid-Michigan Region,7,N/A,N/A,N/A,N/A,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A
20 - 21 School Year,23,Eaton RESA,23030,Charlotte Public Schools,00000,All Buildings,23,Eaton,LEA District,Town: Fringe,Mid-Michigan Region,7,21,22.6,72,77.4,< 10,23.1,30,76.9,28,27.5,74,72.5
20 - 21 School Year,23,Eaton RESA,23050,Eaton Rapids Public Schools,00000,All Buildings,23,Eaton,LEA District,Town: Fringe,Mid-Michigan Region,7,24,27.9,62,72.1,19,26,54,74,68,51.5,64,48.5
20 - 21 School Year,23,Eaton RESA,23060,Grand Ledge Public Schools,00000,All Buildings,23,Eaton,LEA District,Suburb: Large,Mid-Michigan Region,7,22,29.7,52,70.3,16,26.7,44,73.3,56,32.6,116,67.4
20 - 21 School Year,23,Eaton RESA,23065,Maple Valley Schools,00000,All Buildings,23,Eaton,LEA District,Rural: Distant,Mid-Michigan Region,7,< 10,14.9,40,85.1,< 10,8,23,92,10,21.7,36,78.3
20 - 21 School Year,23,Eaton RESA,23090,Potterville Public Schools,00000,All Buildings,23,Eaton,LEA District,Rural: Fringe,Mid-Michigan Region,7,< 10,15.4,22,84.6,< 10,20,12,80,< 10,30,14,70
20 - 21 School Year,23,Eaton RESA,23490,Oneida Township S/D #3,00000,All Buildings,23,Eaton,LEA District,Rural: Fringe,Mid-Michigan Region,7,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,23,Eaton RESA,23900,LifeTech Academy,00000,All Buildings,23,Eaton,PSA District,Suburb: Large,Mid-Michigan Region,7,< 10,< 10,< 10,< 10,< 10,20,< 10,80,< 10,< 10,< 10,< 10
20 - 21 School Year,23,Eaton RESA,23901,Island City Academy,00000,All Buildings,23,Eaton,PSA District,Rural: Fringe,Mid-Michigan Region,7,< 10,< 5,< 10,> 95,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A
20 - 21 School Year,23,Eaton RESA,23902,Relevant Academy of Eaton County,00000,All Buildings,23,Eaton,PSA District,Suburb: Large,Mid-Michigan Region,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,< 10,< 10,< 10,< 10
20 - 21 School Year,23,Eaton RESA,23903,Insight School of Michigan,00000,All Buildings,23,Eaton,PSA District,Suburb: Large,Mid-Michigan Region,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,< 10,25,21,75
20 - 21 School Year,25,Genesee ISD,25000,Genesee ISD  - District created from ISD,00000,All Buildings,25,Genesee,ISD District,Suburb: Large,I-69 Region,6,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A,< 10,< 10,< 10,< 10
20 - 21 School Year,25,Genesee ISD,25010,"Flint, School District of the City of",00000,All Buildings,25,Genesee,LEA District,City: Small,I-69 Region,6,< 10,< 5,39,> 95,< 10,< 5,< 10,> 95,< 10,5.8,49,94.2
20 - 21 School Year,25,Genesee ISD,25030,Grand Blanc Community Schools,00000,All Buildings,25,Genesee,LEA District,Suburb: Large,I-69 Region,6,100,32.2,211,67.8,153,28.8,378,71.2,505,49.5,515,50.5
20 - 21 School Year,25,Genesee ISD,25040,Mt. Morris Consolidated Schools,00000,All Buildings,25,Genesee,LEA District,Suburb: Large,I-69 Region,6,13,12.7,89,87.3,< 10,< 5,99,> 95,15,12.5,105,87.5
20 - 21 School Year,25,Genesee ISD,25050,Goodrich Area Schools,00000,All Buildings,25,Genesee,LEA District,Rural: Fringe,I-69 Region,6,31,52.5,28,47.5,24,35.3,44,64.7,67,31.9,143,68.1
20 - 21 School Year,25,Genesee ISD,25060,Bendle Public Schools,00000,All Buildings,25,Genesee,LEA District,Suburb: Large,I-69 Region,6,19,33.3,38,66.7,< 10,< 5,82,> 95,18,21.4,66,78.6
20 - 21 School Year,25,Genesee ISD,25070,Genesee School District,00000,All Buildings,25,Genesee,LEA District,Suburb: Large,I-69 Region,6,< 10,8.3,33,91.7,< 10,20.6,27,79.4,16,22.2,56,77.8
20 - 21 School Year,25,Genesee ISD,25080,Carman-Ainsworth Community Schools,00000,All Buildings,25,Genesee,LEA District,Suburb: Large,I-69 Region,6,53,30.1,123,69.9,17,8.5,183,91.5,121,21.7,437,78.3
20 - 21 School Year,25,Genesee ISD,25100,Fenton Area Public Schools,00000,All Buildings,25,Genesee,LEA District,Suburb: Large,I-69 Region,6,37,35.9,66,64.1,24,19.4,100,80.6,96,35.3,176,64.7
20 - 21 School Year,25,Genesee ISD,25110,Kearsley Community School District,00000,All Buildings,25,Genesee,LEA District,Suburb: Large,I-69 Region,6,52,32.7,107,67.3,31,19.1,131,80.9,75,32.9,153,67.1
20 - 21 School Year,25,Genesee ISD,25120,Flushing Community Schools,00000,All Buildings,25,Genesee,LEA District,Suburb: Large,I-69 Region,6,62,34.1,120,65.9,33,16.8,163,83.2,89,24.5,275,75.5
20 - 21 School Year,25,Genesee ISD,25130,Atherton Community Schools,00000,All Buildings,25,Genesee,LEA District,Suburb: Large,I-69 Region,6,< 10,11.1,32,88.9,< 10,12.5,28,87.5,13,17.1,63,82.9
20 - 21 School Year,25,Genesee ISD,25140,Davison Community Schools,00000,All Buildings,25,Genesee,LEA District,Suburb: Large,I-69 Region,6,156,55.5,125,44.5,142,41.9,197,58.1,286,44.3,360,55.7
20 - 21 School Year,25,Genesee ISD,25150,Clio Area School District,00000,All Buildings,25,Genesee,LEA District,Suburb: Large,I-69 Region,6,55,43.3,72,56.7,23,17.4,109,82.6,63,22,223,78
20 - 21 School Year,25,Genesee ISD,25180,Swartz Creek Community Schools,00000,All Buildings,25,Genesee,LEA District,Suburb: Large,I-69 Region,6,33,33,67,67,29,17.1,141,82.9,38,20.2,150,79.8
20 - 21 School Year,25,Genesee ISD,25200,Lake Fenton Community Schools,00000,All Buildings,25,Genesee,LEA District,Rural: Fringe,I-69 Region,6,18,26.9,49,73.1,29,34.9,54,65.1,60,30.9,134,69.1
20 - 21 School Year,25,Genesee ISD,25210,Westwood Heights Schools,00000,All Buildings,25,Genesee,LEA District,Suburb: Large,I-69 Region,6,< 10,< 5,28,> 95,< 10,< 5,< 10,> 95,< 10,< 5,59,> 95
20 - 21 School Year,25,Genesee ISD,25230,Bentley Community School District,00000,All Buildings,25,Genesee,LEA District,Suburb: Large,I-69 Region,6,< 10,21.4,22,78.6,< 10,7.7,36,92.3,17,23.6,55,76.4
20 - 21 School Year,25,Genesee ISD,25240,Beecher Community School District,00000,All Buildings,25,Genesee,LEA District,Suburb: Large,I-69 Region,6,< 10,6.3,30,93.8,< 10,40,< 10,60,< 10,< 5,23,> 95
20 - 21 School Year,25,Genesee ISD,25250,Linden Community Schools,00000,All Buildings,25,Genesee,LEA District,Suburb: Large,I-69 Region,6,34,34,66,66,13,17.3,62,82.7,25,29.1,61,70.9
20 - 21 School Year,25,Genesee ISD,25260,Montrose Community Schools,00000,All Buildings,25,Genesee,LEA District,Rural: Fringe,I-69 Region,6,22,30.1,51,69.9,13,31.7,28,68.3,27,29.3,65,70.7
20 - 21 School Year,25,Genesee ISD,25280,LakeVille Community School District,00000,All Buildings,25,Genesee,LEA District,Rural: Distant,I-69 Region,6,16,27.6,42,72.4,10,14.1,61,85.9,44,27.8,114,72.2
20 - 21 School Year,25,Genesee ISD,25900,Genesee STEM Academy,00000,All Buildings,25,Genesee,PSA District,Suburb: Large,I-69 Region,6,< 10,< 5,< 10,> 95,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10
20 - 21 School Year,25,Genesee ISD,25902,Woodland Park Academy,00000,All Buildings,25,Genesee,PSA District,Suburb: Large,I-69 Region,6,< 10,17.4,19,82.6,< 10,< 5,29,> 95,N/A,N/A,N/A,N/A
20 - 21 School Year,25,Genesee ISD,25903,Grand Blanc Academy,00000,All Buildings,25,Genesee,PSA District,Suburb: Large,I-69 Region,6,< 10,7.1,13,92.9,< 10,18.8,13,81.3,N/A,N/A,N/A,N/A
20 - 21 School Year,25,Genesee ISD,25904,Northridge Academy,00000,All Buildings,25,Genesee,PSA District,Rural: Fringe,I-69 Region,6,< 10,< 5,< 10,> 95,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A
20 - 21 School Year,25,Genesee ISD,25905,International Academy of Flint,00000,All Buildings,25,Genesee,PSA District,City: Small,I-69 Region,6,< 10,12.5,21,87.5,< 10,< 5,19,> 95,< 10,12.5,42,87.5
20 - 21 School Year,25,Genesee ISD,25907,Linden Charter Academy,00000,All Buildings,25,Genesee,PSA District,Suburb: Large,I-69 Region,6,16,25.8,46,74.2,14,24.6,43,75.4,N/A,N/A,N/A,N/A
20 - 21 School Year,25,Genesee ISD,25909,Burton Glen Charter Academy,00000,All Buildings,25,Genesee,PSA District,Suburb: Large,I-69 Region,6,< 10,< 5,43,> 95,< 10,10,36,90,N/A,N/A,N/A,N/A
20 - 21 School Year,25,Genesee ISD,25910,Richfield Public School Academy,00000,All Buildings,25,Genesee,PSA District,City: Small,I-69 Region,6,< 10,6.1,31,93.9,< 10,< 5,26,> 95,N/A,N/A,N/A,N/A
20 - 21 School Year,25,Genesee ISD,25911,Madison Academy,00000,All Buildings,25,Genesee,PSA District,Rural: Fringe,I-69 Region,6,< 10,26.1,17,73.9,< 10,5.6,34,94.4,11,14.1,67,85.9
20 - 21 School Year,25,Genesee ISD,25912,The New Standard Academy,00000,All Buildings,25,Genesee,PSA District,Suburb: Large,I-69 Region,6,< 10,10.3,52,89.7,< 10,< 5,43,> 95,< 10,< 5,36,> 95
20 - 21 School Year,25,Genesee ISD,25914,Greater Heights Academy,00000,All Buildings,25,Genesee,PSA District,Suburb: Large,I-69 Region,6,< 10,5,19,95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,25,Genesee ISD,25915,WAY Academy - Flint,00000,All Buildings,25,Genesee,PSA District,City: Small,I-69 Region,6,N/A,N/A,N/A,N/A,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10
20 - 21 School Year,25,Genesee ISD,25916,Eagle's Nest Academy,00000,All Buildings,25,Genesee,PSA District,City: Small,I-69 Region,6,< 10,< 5,14,> 95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,25,Genesee ISD,25918,Flex High School of Michigan,00000,All Buildings,25,Genesee,PSA District,City: Small,I-69 Region,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,< 10,< 10,< 10,< 10
20 - 21 School Year,25,Genesee ISD,25919,Flint Cultural Center Academy,00000,All Buildings,25,Genesee,PSA District,City: Small,I-69 Region,6,15,30,35,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,27,Gogebic-Ontonagon ISD,27010,Bessemer Area School District,00000,All Buildings,66,Ontonagon,LEA District,Rural: Distant,Western Upper Peninsula Region,16,< 10,20,12,80,< 10,22.2,14,77.8,< 10,11.9,37,88.1
20 - 21 School Year,27,Gogebic-Ontonagon ISD,27020,Ironwood Area Schools of Gogebic County,00000,All Buildings,66,Ontonagon,LEA District,Town: Remote,Western Upper Peninsula Region,16,12,34.3,23,65.7,11,20.4,43,79.6,28,28.6,70,71.4
20 - 21 School Year,27,Gogebic-Ontonagon ISD,27070,Wakefield-Marenisco School District,00000,All Buildings,66,Ontonagon,LEA District,Rural: Distant,Western Upper Peninsula Region,16,< 10,11.1,< 10,88.9,< 10,18.2,< 10,81.8,< 10,20,16,80
20 - 21 School Year,27,Gogebic-Ontonagon ISD,27080,Watersmeet Township School District,00000,All Buildings,66,Ontonagon,LEA District,Rural: Remote,Western Upper Peninsula Region,16,< 10,< 5,< 10,> 95,< 10,12.5,< 10,87.5,< 10,5.6,17,94.4
20 - 21 School Year,27,Gogebic-Ontonagon ISD,66045,Ewen-Trout Creek Consolidated School District,00000,All Buildings,66,Ontonagon,LEA District,Rural: Remote,Western Upper Peninsula Region,16,< 10,14.3,< 10,85.7,< 10,7.1,13,92.9,< 10,6.3,15,93.8
20 - 21 School Year,27,Gogebic-Ontonagon ISD,66050,Ontonagon Area School District,00000,All Buildings,66,Ontonagon,LEA District,Rural: Remote,Western Upper Peninsula Region,16,< 10,57.1,< 10,42.9,< 10,17.6,14,82.4,10,31.3,22,68.8
20 - 21 School Year,28,Northwest Education Services,05010,Alba Public Schools,00000,All Buildings,28,Grand Traverse,LEA District,Rural: Remote,Northwestern Lower Michigan Region,13,< 10,14.3,< 10,85.7,< 10,20,< 10,80,< 10,14.3,12,85.7
20 - 21 School Year,28,Northwest Education Services,05040,Bellaire Public Schools,00000,All Buildings,28,Grand Traverse,LEA District,Rural: Remote,Northwestern Lower Michigan Region,13,< 10,< 5,< 10,> 95,< 10,23.1,10,76.9,11,30.6,25,69.4
20 - 21 School Year,28,Northwest Education Services,05060,Elk Rapids Schools,00000,All Buildings,28,Grand Traverse,LEA District,Rural: Distant,Northwestern Lower Michigan Region,13,11,29.7,26,70.3,19,33.9,37,66.1,88,50,88,50
20 - 21 School Year,28,Northwest Education Services,05070,Mancelona Public Schools,00000,All Buildings,28,Grand Traverse,LEA District,Rural: Remote,Northwestern Lower Michigan Region,13,10,27.8,26,72.2,21,50,21,50,24,31.6,52,68.4
20 - 21 School Year,28,Northwest Education Services,10015,Benzie County Central Schools,00000,All Buildings,28,Grand Traverse,LEA District,Rural: Remote,Northwestern Lower Michigan Region,13,21,35,39,65,14,23,47,77,24,27.9,62,72.1
20 - 21 School Year,28,Northwest Education Services,10025,Frankfort-Elberta Area Schools,00000,All Buildings,28,Grand Traverse,LEA District,Rural: Remote,Northwestern Lower Michigan Region,13,10,40,15,60,N/A,N/A,N/A,N/A,13,36.1,23,63.9
20 - 21 School Year,28,Northwest Education Services,28000,Northwest Education Services  - District created from ISD,00000,All Buildings,28,Grand Traverse,ISD District,Town: Remote,Northwestern Lower Michigan Region,13,< 10,< 10,< 10,< 10,< 10,< 5,< 10,> 95,N/A,N/A,N/A,N/A
20 - 21 School Year,28,Northwest Education Services,28010,Traverse City Area Public Schools,00000,All Buildings,28,Grand Traverse,LEA District,Town: Remote,Northwestern Lower Michigan Region,13,136,37.9,223,62.1,177,39.7,269,60.3,326,40.1,486,59.9
20 - 21 School Year,28,Northwest Education Services,28035,Buckley Community Schools,00000,All Buildings,28,Grand Traverse,LEA District,Rural: Distant,Northwestern Lower Michigan Region,13,15,55.6,12,44.4,< 10,33.3,14,66.7,10,22.7,34,77.3
20 - 21 School Year,28,Northwest Education Services,28090,Kingsley Area Schools,00000,All Buildings,28,Grand Traverse,LEA District,Rural: Distant,Northwestern Lower Michigan Region,13,54,62.1,33,37.9,16,27.6,42,72.4,43,32.6,89,67.4
20 - 21 School Year,28,Northwest Education Services,28900,Old Mission Peninsula School,00000,All Buildings,28,Grand Traverse,PSA District,Rural: Distant,Northwestern Lower Michigan Region,13,< 10,30,< 10,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,28,Northwest Education Services,28901,Woodland School,00000,All Buildings,28,Grand Traverse,PSA District,Rural: Distant,Northwestern Lower Michigan Region,13,< 10,71.4,< 10,28.6,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A
20 - 21 School Year,28,Northwest Education Services,28902,Grand Traverse Academy,00000,All Buildings,28,Grand Traverse,PSA District,Town: Remote,Northwestern Lower Michigan Region,13,< 10,36.8,12,63.2,12,52.2,11,47.8,20,71.4,< 10,28.6
20 - 21 School Year,28,Northwest Education Services,28904,The Greenspire School,00000,All Buildings,28,Grand Traverse,PSA District,Town: Remote,Northwestern Lower Michigan Region,13,N/A,N/A,N/A,N/A,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A
20 - 21 School Year,28,Northwest Education Services,40020,Forest Area Community Schools,00000,All Buildings,28,Grand Traverse,LEA District,Rural: Distant,Northwestern Lower Michigan Region,13,< 10,27.3,24,72.7,< 10,27.3,16,72.7,15,24.2,47,75.8
20 - 21 School Year,28,Northwest Education Services,40040,Kalkaska Public Schools,00000,All Buildings,28,Grand Traverse,LEA District,Town: Remote,Northwestern Lower Michigan Region,13,20,22.7,68,77.3,27,23.3,89,76.7,66,39.3,102,60.7
20 - 21 School Year,28,Northwest Education Services,40060,Excelsior Township S/D #1,00000,All Buildings,28,Grand Traverse,LEA District,Rural: Distant,Northwestern Lower Michigan Region,13,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A
20 - 21 School Year,28,Northwest Education Services,45010,Glen Lake Community Schools,00000,All Buildings,28,Grand Traverse,LEA District,Rural: Remote,Northwestern Lower Michigan Region,13,12,36.4,21,63.6,16,47.1,18,52.9,21,38.9,33,61.1
20 - 21 School Year,28,Northwest Education Services,45020,Leland Public School District,00000,All Buildings,28,Grand Traverse,LEA District,Rural: Distant,Northwestern Lower Michigan Region,13,< 10,15.4,11,84.6,< 10,35.3,11,64.7,< 10,45,11,55
20 - 21 School Year,28,Northwest Education Services,45040,Northport Public School District,00000,All Buildings,28,Grand Traverse,LEA District,Rural: Remote,Northwestern Lower Michigan Region,13,< 10,42.9,< 10,57.1,< 10,27.3,< 10,72.7,< 10,22.7,17,77.3
20 - 21 School Year,28,Northwest Education Services,45050,Suttons Bay Public Schools,00000,All Buildings,28,Grand Traverse,LEA District,Rural: Distant,Northwestern Lower Michigan Region,13,< 10,20,12,80,< 10,23.8,16,76.2,12,26.1,34,73.9
20 - 21 School Year,28,Northwest Education Services,45901,Leelanau Montessori Public School Academy,00000,All Buildings,28,Grand Traverse,PSA District,Rural: Distant,Northwestern Lower Michigan Region,13,< 10,16.7,< 10,83.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,29,Gratiot-Isabella RESD,29000,Gratiot-Isabella RESD  - District created from ISD,00000,All Buildings,29,Gratiot,ISD District,Town: Distant,East Central Michigan Region,10,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,29,Gratiot-Isabella RESD,29010,Alma Public Schools,00000,All Buildings,29,Gratiot,LEA District,Town: Distant,East Central Michigan Region,10,40,36.4,70,63.6,26,24.3,81,75.7,56,33.7,110,66.3
20 - 21 School Year,29,Gratiot-Isabella RESD,29020,Ashley Community Schools,00000,All Buildings,29,Gratiot,LEA District,Rural: Distant,East Central Michigan Region,10,12,70.6,< 10,29.4,< 10,22.2,< 10,77.8,< 10,16.7,30,83.3
20 - 21 School Year,29,Gratiot-Isabella RESD,29040,Breckenridge Community Schools,00000,All Buildings,29,Gratiot,LEA District,Rural: Distant,East Central Michigan Region,10,12,36.4,21,63.6,< 10,22.2,14,77.8,13,21.7,47,78.3
20 - 21 School Year,29,Gratiot-Isabella RESD,29050,Fulton Schools,00000,All Buildings,29,Gratiot,LEA District,Rural: Distant,East Central Michigan Region,10,N/A,N/A,N/A,N/A,< 10,23.7,29,76.3,17,31.5,37,68.5
20 - 21 School Year,29,Gratiot-Isabella RESD,29060,Ithaca Public Schools,00000,All Buildings,29,Gratiot,LEA District,Rural: Distant,East Central Michigan Region,10,22,35.5,40,64.5,< 10,16.1,47,83.9,38,29.7,90,70.3
